TYPE,CODE,NAME
location,222402,    图们市
location,222403,    敦化市
location,222404,    珲春市
location,222405,    龙井市
location,222406,    和龙市
location,222424,    汪清县
location,222426,    安图县
location,230000,黑龙江省
location,230100,哈尔滨市
location,230102,    道里区
location,230103,    南岗区
location,230104,    道外区
location,230108,    平房区
location,230109,    松北区
location,230110,    香坊区
location,230111,    呼兰区
location,230112,    阿城区
location,230113,    双城区
location,230123,    依兰县
location,230124,    方正县
location,230125,    宾县
location,230126,    巴彦县
location,230127,    木兰县
location,230128,    通河县
location,230129,    延寿县
location,230183,    尚志市
location,230184,    五常市
location,230200,齐齐哈尔市
location,230202,    龙沙区
location,230203,    建华区
location,230204,    铁锋区
location,230205,    昂昂溪区
location,230206,    富拉尔基区
location,230207,    碾子山区
location,230208,    梅里斯达斡尔族区
location,230221,    龙江县
location,230223,    依安县
location,230224,    泰来县
location,230225,    甘南县
location,230227,    富裕县
location,230229,    克山县
location,230230,    克东县
location,230231,    拜泉县
location,230281,    讷河市
location,230300,鸡西市
location,230302,    鸡冠区
location,230303,    恒山区
location,230304,    滴道区
location,230305,    梨树区
location,230306,    城子河区
location,230307,    麻山区
location,230321,    鸡东县
location,230381,    虎林市
location,230382,    密山市
location,230400,鹤岗市
location,230402,    向阳区
location,230403,    工农区
location,230404,    南山区
location,230405,    兴安区
location,230406,    东山区
location,230407,    兴山区
location,230421,    萝北县
location,230422,    绥滨县
location,230500,双鸭山市
location,230502,    尖山区
location,230503,    岭东区
location,230505,    四方台区
location,230506,    宝山区
location,230521,    集贤县
location,230522,    友谊县
location,230523,    宝清县
location,230524,    饶河县
location,230600,大庆市
location,230602,    萨尔图区
location,230603,    龙凤区
location,230604,    让胡路区
location,230605,    红岗区
location,230606,    大同区
location,230621,    肇州县
location,230622,    肇源县
location,230623,    林甸县
location,230624,    杜尔伯特蒙古族自治县
location,230700,伊春市
location,230702,    伊春区
location,230703,    南岔区
location,230704,    友好区
location,230705,    西林区
location,230706,    翠峦区
location,230707,    新青区
location,230708,    美溪区
location,230709,    金山屯区
location,230710,    五营区
location,230711,    乌马河区
location,230712,    汤旺河区
location,230713,    带岭区
